"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.9498.1"	"MSTRG.9498"	0.6	0.62	0.35	0.56	1.51	1.04	1.28	0.9	0.71
"MSTRG.9498.2"	"MSTRG.9498"	0.08	1.18	1.35	0.67	0.63	0.26	1.08	0.65	0.06
"MSTRG.9498.3"	"MSTRG.9498"	2.91	2.78	2.07	2.16	5.28	3.7	3.26	4.47	3.04
"MSTRG.9499.1"	"MSTRG.9499"	1.96	2.16	1.85	1.98	4.05	2.5	3.81	3.3	2.75
"MSTRG.95.1"	"MSTRG.95"	0.68	0.73	0.43	0.57	1.15	0.87	1.14	1.73	0.93
"MSTRG.950.1"	"MSTRG.950"	1.83	2.08	1.63	1.72	3.71	2.42	3.69	3.12	1.98
"MSTRG.9500.1"	"MSTRG.9500"	1.04	1.04	1.35	1.39	2.65	1.8	2.82	1.6	1.86
"MSTRG.9501.1"	"MSTRG.9501"	1.78	2.14	2.55	1.47	3.25	2.05	3.31	1.93	2.07
"MSTRG.9502.1"	"MSTRG.9502"	0.65	0.53	0.69	0.65	1.86	1.07	1.56	1.31	1.05
"MSTRG.9502.2"	"MSTRG.9502"	1.26	1.58	1.62	1.43	2.9	1.96	3.29	1.89	1.75
"MSTRG.9503.1"	"MSTRG.9503"	3.01	3.62	2.73	2.74	6.49	4.24	6.57	5.53	4.44
"MSTRG.9504.1"	"MSTRG.9504"	2.29	2.14	3.08	2.44	5.08	3.62	3.61	2.58	3.37
"MSTRG.9504.2"	"MSTRG.9504"	4.38	4.9	4.98	4.24	7.48	5.31	9.03	5.25	5.15
"MSTRG.9505.1"	"MSTRG.9505"	4.38	5.19	4.13	4.41	9.28	6.37	9.28	8.96	6.13
"MSTRG.9506.1"	"MSTRG.9506"	2.8	3.73	2.95	2.85	5.42	4.58	4.69	4.87	4.05
"MSTRG.9506.2"	"MSTRG.9506"	0.19	0.76	0.21	0.28	0.42	0	0.08	0	0.16
"MSTRG.9507.1"	"MSTRG.9507"	17.86	23.42	17.26	17.66	34.2	21.77	32.8	27.78	23.32
"MSTRG.9507.2"	"MSTRG.9507"	0.94	1.6	1.85	1.22	1.59	1.56	1.64	0.32	1
"MSTRG.9508.1"	"MSTRG.9508"	1.5	1.64	1.76	1.63	3.03	2.3	3.11	2.19	2.08
"MSTRG.9509.1"	"MSTRG.9509"	3.21	3.4	3.22	3.55	7.96	4.91	7.77	7.34	5.35
"MSTRG.951.1"	"MSTRG.951"	0.95	1.09	0.93	0.99	1.57	1.11	1.79	1.21	0.97
"MSTRG.9510.1"	"MSTRG.9510"	28.13	24.65	20.92	25.52	60.7	39.47	53.71	210.32	36.87
"MSTRG.9511.1"	"MSTRG.9511"	0	0.03	0.01	0.09	0.07	0.06	0.06	0.12	0.1
"MSTRG.9512.1"	"MSTRG.9512"	242.08	204.65	144.86	190.67	378.46	254.56	444.72	524.6	235.97
"MSTRG.9513.1"	"MSTRG.9513"	3.98	4.5	2.54	3.7	8.48	4.4	6.91	9.65	3.75
"MSTRG.9514.1"	"MSTRG.9514"	0.73	0.75	0.68	0.63	1.42	1.13	1.62	1.52	1.06
"MSTRG.9515.1"	"MSTRG.9515"	4.44	5.34	3.92	3.86	14.38	8.57	13.57	10.82	8.45
"MSTRG.9516.1"	"MSTRG.9516"	9.44	5.05	5.13	1.98	3.26	12.01	5.13	10.33	4.78
"MSTRG.9517.1"	"MSTRG.9517"	2.88	3.1	2.45	2.99	5.83	3.83	5.68	5.17	3.19
"MSTRG.9518.1"	"MSTRG.9518"	0.14	0.17	0.1	0.13	0.23	0.26	0.23	0.41	0.25
"MSTRG.9518.2"	"MSTRG.9518"	0.61	0.63	0.56	0.56	1.5	0.92	1.6	1.28	1.03
"MSTRG.9518.3"	"MSTRG.9518"	3.16	4.08	3.14	3.47	7.42	5.28	8.14	7.59	5.49
"MSTRG.9519.1"	"MSTRG.9519"	2.43	2.72	2.48	2.32	4.18	2.75	3.95	2.97	2.61
"MSTRG.952.1"	"MSTRG.952"	1.64	2.33	2.19	1.53	3.63	3.12	3.01	3.23	3.67
"MSTRG.9520.1"	"MSTRG.9520"	2.59	2.44	2.49	2.82	5.45	3.34	5	3.05	2.92
"MSTRG.9521.1"	"MSTRG.9521"	1.88	1.23	1.37	0.98	3.78	1.87	0	0.91	1.15
"MSTRG.9521.2"	"MSTRG.9521"	0	0	1.17	1.01	0	0.03	2.12	0.87	0
"MSTRG.9521.3"	"MSTRG.9521"	0.21	0.45	0.55	0.37	0.93	0.42	0.65	1.36	0.22
"MSTRG.9521.4"	"MSTRG.9521"	9.37	11.49	8.68	9.56	21.66	13.96	23.8	18.19	14.51
"MSTRG.9522.1"	"MSTRG.9522"	5.28	5.44	4.86	4.94	12.13	8.04	11.42	8.59	8.05
"MSTRG.9523.1"	"MSTRG.9523"	1.84	2.12	1.72	1.87	3.64	2.28	3.46	3.02	1.93
