"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.8035.1"	"MSTRG.8035"	73	69	40	65	91	62	58	32	53
"MSTRG.8036.1"	"MSTRG.8036"	232	237	127	282	354	283	266	213	195
"MSTRG.8037.1"	"MSTRG.8037"	2	1	0	0	2	2	1	2	1
"MSTRG.8038.1"	"MSTRG.8038"	281	318	174	274	340	287	284	174	238
"MSTRG.8039.1"	"MSTRG.8039"	342	377	167	327	405	312	249	181	197
"MSTRG.804.1"	"MSTRG.804"	551.28	607.63	318.67	455.25	783.66	521.46	585.05	324.34	449.32
"MSTRG.804.2"	"MSTRG.804"	526.72	506.37	253.33	493.75	438.34	473.54	409.95	223.66	284.68
"MSTRG.8040.1"	"MSTRG.8040"	753	1012	503	803	1002	986	722	931	1042
"MSTRG.8041.1"	"MSTRG.8041"	173	134	73	166	133	152	136	111	89
"MSTRG.8042.1"	"MSTRG.8042"	96	115	57	111	137	114	73	94	119
"MSTRG.8043.1"	"MSTRG.8043"	2044	2035	1283	1946	2557	1929	2011	1643	1962
"MSTRG.8044.1"	"MSTRG.8044"	190	222	100	227	246	207	211	152	222
"MSTRG.8045.1"	"MSTRG.8045"	761	821	491	771	1085	934	905	634	848
"MSTRG.8046.1"	"MSTRG.8046"	49	58	44	48	52	44	45	15	45
"MSTRG.8047.1"	"MSTRG.8047"	790	802	534	655	935	797	822	398	837
"MSTRG.8048.1"	"MSTRG.8048"	258	252	155	260	364	317	292	201	284
"MSTRG.8049.1"	"MSTRG.8049"	54	63	35	56	78	44	57	37	61
"MSTRG.805.1"	"MSTRG.805"	276	349	166	233	260	218	272	150	194
"MSTRG.8050.1"	"MSTRG.8050"	1089	1119	704	1004	1449	1092	1227	790	982
"MSTRG.8051.1"	"MSTRG.8051"	1701	1593	927	1481	1638	1276	1483	980	1085
"MSTRG.8052.1"	"MSTRG.8052"	1330.19	1494.88	766.18	1338.54	1588.34	1174.43	1226.66	1064.48	1307.74
"MSTRG.8052.2"	"MSTRG.8052"	25.3	36.43	23.29	12.9	37.15	86.33	61.29	25.16	50.09
"MSTRG.8052.3"	"MSTRG.8052"	164.51	219.69	84.52	139.56	186.51	124.24	95.05	56.37	50.17
"MSTRG.8053.1"	"MSTRG.8053"	115.15	119.8	87.73	68.58	108.26	59.17	136.96	22.46	85.97
"MSTRG.8053.2"	"MSTRG.8053"	306.64	408.85	187.65	269.4	334.18	334.12	244.63	272.67	311.27
"MSTRG.8053.3"	"MSTRG.8053"	344.21	439.35	365.62	326.02	444.56	396.71	271.41	156.87	349.76
"MSTRG.8054.1"	"MSTRG.8054"	28.59	66.84	14.98	24.07	23.02	0	21.7	23.74	24.42
"MSTRG.8054.2"	"MSTRG.8054"	1130.39	1131.51	589.96	1102.87	1367.04	1184.51	1446.48	822.52	915.34
"MSTRG.8054.3"	"MSTRG.8054"	134.12	214.28	89.62	159.33	245.8	226.63	122.11	279.03	195.27
"MSTRG.8055.1"	"MSTRG.8055"	570	562	384	584	616	521	642	271	392
"MSTRG.8056.1"	"MSTRG.8056"	1401	1340.87	841	1395	1513	1118.91	1147.89	1448	989.52
"MSTRG.8057.1"	"MSTRG.8057"	758.4	721.75	348.72	662.63	868.55	591.81	697.37	409.97	549.49
"MSTRG.8057.2"	"MSTRG.8057"	91.6	111.25	58.28	80.37	128.45	199.19	77.63	82.03	101.51
